Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16,Team,Week 17
Iowa State,169,Boise State,164,USC,120,Arizona State,110,Wake Forest,143,Michigan State,167,Arizona State,228,Appalachian State,140,Arizona State,131,Texas,104,San Diego State,105,Appalachian State,133,Texas A&M,101,Navy,110,USC,171,Air Force,151,UCF,72
Northwestern,161,Nebraska,94,Maryland,109,Kansas State,106,USC,130,Oklahoma State,158,Minnesota,131,Temple,88,Memphis,101,Kansas State,102,Navy,92,Indiana,123,San Diego State,47,USC,75,Air Force,129,Virginia,73,Virginia,47
Nebraska,152,Mississippi State,92,Virginia,64,Oklahoma State,100,Memphis,109,California,125,Cincinnati,74,Wake Forest,87,Iowa State,83,San Diego State,94,Texas,79,Oklahoma State,49,Virginia Tech,46,Air Force,74,SMU,65,Oklahoma State,64,Texas,42
Boise State,118,Cincinnati,49,Kentucky,62,Memphis,68,Washington State,83,SMU,118,Washington,72,Tulane,76,Virginia,61,Navy,75,Indiana,44,Wake Forest,45,Air Force,43,Iowa State,55,Oklahoma State,40,SMU,61,Florida Atlantic,32
Mississippi State,111,Iowa State,41,California,51,TCU,55,Michigan State,82,Arizona State,96,Appalachian State,49,Virginia,35,San Diego State,45,UCF,24,Appalachian State,24,Louisiana Tech,43,Indiana,39,Virginia,32,Kansas State,24,Kansas State,20,Washington,29
Miami,94,Kentucky,40,Iowa State,48,Michigan State,40,SMU,63,Army,47,Michigan State,41,Memphis,30,Navy,24,Louisiana Tech,22,UCF,24,Kansas State,38,Navy,25,Texas A&M,26,Louisiana,21,Indiana,10,Louisiana,26
Army,91,Memphis,34,Memphis,46,Wake Forest,33,Oklahoma State,51,Minnesota,34,Tulane,36,California,21,Pittsburgh,18,Indiana,18,Texas A&M,22,San Diego State,32,Virginia,20,SMU,18,Indiana,14,Louisiana,6,Texas A&M,26
Kentucky,79,Oklahoma State,32,Oklahoma State,45,Army,31,Army,45,Baylor,34,California,17,Iowa State,19,Washington,16,Texas A&M,16,Louisiana Tech,13,Texas A&M,31,Louisiana Tech,10,Louisiana,18,Hawai'i,7,UCF,6,USC,23
Virginia Tech,64,Virginia,28,North Carolina,42,BYU,28,Mississippi State,34,Appalachian State,28,Hawai'i,13,San Diego State,18,Tulane,8,Washington,15,Oklahoma State,5,Air Force,25,Louisiana,8,Wake Forest,5,UCF,7,Florida Atlantic,6,San Diego State,20
TCU,63,TCU,26,Army,31,Kentucky,14,Appalachian State,27,Colorado,18,Arizona,13,Navy,17,Texas A&M,8,Oklahoma State,7,Air Force,4,Virginia Tech,17,Pittsburgh,7,San Diego State,4,Arizona State,6,San Diego State,5,SMU,14
