Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16,Team,Week 17
New Mexico State,0,Oregon State,0,Oregon State,0,Pittsburgh,0,Pittsburgh,0,Oregon State,0,Pittsburgh,0,Purdue,0,Ole Miss,0,Purdue,0,San José State,0,Rutgers,0,San José State,0,San José State,0,San José State,0,South Alabama,0,Rutgers,0
North Carolina,0,Pittsburgh,0,Pittsburgh,0,Purdue,0,Purdue,0,Pittsburgh,0,Purdue,0,Rice,0,Oregon State,0,Rice,0,South Alabama,0,San José State,0,South Alabama,0,South Alabama,0,South Alabama,0,South Carolina,0,San José State,0
Northern Illinois,0,Purdue,0,Purdue,0,Rice,0,Rice,0,Purdue,0,Rice,0,Rutgers,0,Purdue,0,Rutgers,0,South Carolina,0,South Alabama,0,South Carolina,0,South Carolina,0,South Carolina,0,Southern Mississippi,0,South Alabama,0
Ohio,0,Rice,0,Rice,0,Rutgers,0,Rutgers,0,Rice,0,Rutgers,0,San José State,0,Rice,0,San José State,0,Southern Mississippi,0,South Carolina,0,Southern Mississippi,0,Southern Mississippi,0,Southern Mississippi,0,South Florida,0,South Carolina,0
Old Dominion,0,Rutgers,0,Rutgers,0,San Diego State,0,San Diego State,0,Rutgers,0,San José State,0,South Alabama,0,Rutgers,0,South Alabama,0,South Florida,0,Southern Mississippi,0,South Florida,0,South Florida,0,South Florida,0,Stanford,0,Southern Mississippi,0
Oregon State,0,San Diego State,0,San Diego State,0,San José State,0,San José State,0,San Diego State,0,South Alabama,0,Southern Mississippi,0,San José State,0,South Carolina,0,Stanford,0,South Florida,0,Stanford,0,Stanford,0,Stanford,0,Syracuse,0,South Florida,0
Pittsburgh,0,San José State,0,San José State,0,South Alabama,0,South Alabama,0,San José State,0,South Carolina,0,South Florida,0,South Alabama,0,Southern Mississippi,0,Syracuse,0,Stanford,0,Syracuse,0,Syracuse,0,Syracuse,0,TCU,0,Stanford,0
Purdue,0,SMU,0,SMU,0,South Carolina,0,South Carolina,0,South Alabama,0,Southern Mississippi,0,Stanford,0,South Carolina,0,South Florida,0,TCU,0,Syracuse,0,TCU,0,TCU,0,TCU,0,Temple,0,Syracuse,0
Rice,0,South Alabama,0,South Alabama,0,Southern Mississippi,0,Southern Mississippi,0,South Carolina,0,South Florida,0,Syracuse,0,Southern Mississippi,0,Stanford,0,Temple,0,TCU,0,Tennessee,0,Tennessee,0,Texas,0,Texas,0,TCU,0
Rutgers,0,South Carolina,0,South Carolina,0,South Florida,0,South Florida,0,Southern Mississippi,0,Stanford,0,TCU,0,South Florida,0,Syracuse,0,Tennessee,0,Temple,0,Texas,0,Texas,0,Texas A&M,0,Texas A&M,0,Temple,0
San Diego State,0,Southern Mississippi,0,Southern Mississippi,0,Stanford,0,Stanford,0,South Florida,0,Syracuse,0,Tennessee,0,Stanford,0,TCU,0,Texas State,0,Tennessee,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0
San José State,0,South Florida,0,South Florida,0,Syracuse,0,Syracuse,0,Stanford,0,Tennessee,0,Texas State,0,Syracuse,0,Temple,0,Texas Tech,0,Texas State,0,Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,0
SMU,0,Temple,0,Syracuse,0,Tennessee,0,Temple,0,Syracuse,0,Texas State,0,Texas Tech,0,TCU,0,Tennessee,0,Toledo,0,Texas Tech,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0
South Alabama,0,Tennessee,0,Temple,0,Texas State,0,Tennessee,0,Temple,0,Texas Tech,0,Toledo,0,Tennessee,0,Texas State,0,Troy,0,Toledo,0,Troy,0,Troy,0,Troy,0,Troy,0,Troy,0
Southern Mississippi,0,Texas State,0,Tennessee,0,Texas Tech,0,Texas State,0,Tennessee,0,Toledo,0,Troy,0,Texas State,0,Texas Tech,0,Tulane,0,Troy,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0
South Florida,0,Texas Tech,0,Texas State,0,Toledo,0,Texas Tech,0,Texas State,0,Troy,0,Tulsa,0,Texas Tech,0,Toledo,0,Tulsa,0,Tulane,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0
Texas State,0,Toledo,0,Texas Tech,0,Troy,0,Toledo,0,Texas Tech,0,Tulsa,0,UAB,0,Toledo,0,Troy,0,UAB,0,Tulsa,0,UAB,0,UAB,0,UAB,0,UAB,0,UAB,0
Texas Tech,0,Tulsa,0,Toledo,0,Tulsa,0,Troy,0,Toledo,0,UAB,0,UCLA,0,Troy,0,Tulane,0,UCLA,0,UAB,0,UCF,0,UCF,0,UCLA,0,UCLA,0,UCLA,0
Toledo,0,UAB,0,Tulsa,0,UAB,0,Tulsa,0,Troy,0,UCLA,0,UMass,0,Tulsa,0,Tulsa,0,UMass,0,UCLA,0,UCLA,0,UCLA,0,UMass,0,UMass,0,UMass,0
Tulane,0,UCLA,0,UAB,0,UCLA,0,UAB,0,Tulsa,0,UMass,0,UNLV,0,UCLA,0,UCLA,0,UNLV,0,UMass,0,UMass,0,UMass,0,UNLV,0,UNLV,0,UNLV,0
Tulsa,0,UMass,0,UCLA,0,UMass,0,UCLA,0,UAB,0,UNLV,0,USC,0,UMass,0,UMass,0,USC,0,UNLV,0,UNLV,0,UNLV,0,Utah State,0,Utah State,0,Utah State,0
UAB,0,UNLV,0,UMass,0,UNLV,0,UMass,0,UCLA,0,USC,0,Utah State,0,UNLV,0,UNLV,0,Utah State,0,USC,0,Utah State,0,Utah State,0,UTEP,0,UTEP,0,UTEP,0
UMass,0,Utah State,0,UNLV,0,USC,0,UNLV,0,UMass,0,Utah State,0,UTEP,0,USC,0,USC,0,UTEP,0,Utah State,0,UTEP,0,UTEP,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0
UNLV,0,UTEP,0,Utah State,0,Utah State,0,UTEP,0,UNLV,0,UTEP,0,UT San Antonio,0,UTEP,0,Utah State,0,UT San Antonio,0,UTEP,0,UT San Antonio,0,UT San Antonio,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0
UTEP,0,UT San Antonio,0,UTEP,0,UTEP,0,UT San Antonio,0,UTEP,0,UT San Antonio,0,Vanderbilt,0,UT San Antonio,0,UTEP,0,Vanderbilt,0,UT San Antonio,0,Vanderbilt,0,Vanderbilt,0,Wake Forest,0,Wake Forest,0,Virginia Tech,0
UT San Antonio,0,Vanderbilt,0,UT San Antonio,0,UT San Antonio,0,Vanderbilt,0,UT San Antonio,0,Vanderbilt,0,Virginia Tech,0,Vanderbilt,0,UT San Antonio,0,Virginia Tech,0,Vanderbilt,0,Washington,0,Washington,0,Washington,0,Washington,0,Wake Forest,0
Vanderbilt,0,Virginia Tech,0,Vanderbilt,0,Vanderbilt,0,Virginia Tech,0,Vanderbilt,0,Virginia Tech,0,Washington State,0,Washington State,0,Vanderbilt,0,Washington,0,Washington,0,Washington State,0,Washington State,0,Washington State,0,Washington State,0,Washington State,0
Wake Forest,0,Wake Forest,0,Virginia Tech,0,Virginia Tech,0,Western Kentucky,0,Virginia Tech,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Washington State,0,Washington State,0,Washington State,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0
Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Michigan,0,Western Kentucky,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0
Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,West Virginia,0,Western Michigan,0,West Virginia,0,West Virginia,0,West Virginia,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,West Virginia,0,West Virginia,0,West Virginia,0,West Virginia,0,West Virginia,0
Wyoming,0,West Virginia,0,West Virginia,0,West Virginia,0,Wyoming,0,West Virginia,0,Wyoming,0,Wyoming,0,Wyoming,0,West Virginia,0,West Virginia,0,West Virginia,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0
