Arkansas State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,20,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Army,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,14,3,1,0,25,1,0,0,0,4,4,1,4,8,13,34,58,97,119,114,333,91,24,31,31,45,47,1,0,0,0,0,0,0,0,0,0,0
Auburn,150,93,97,25,35,79,116,305,15,0,9,12,62,15,147,228,263,1153,1160,485,5,5,0,2,29,181,350,50,40,8,0,0,2,20,473,458,465,643,928,972,1180,1341,1359,1358,1409,1416,1433,1436,1435,1435,1460,723,138,94,117,133,336,444,655,427,514,619,872,1025,1049,1141,760,1206,1272,1369,1432,1441,1418,958,1122,1178,1235,1309,721,825,985,1000,1119,595,644,131,0,0,42,143,372,179,454,551,54,65,271,289,289,624,888,962,1017,955,650,776,121,0,0,0,0,0,0,0,0,0,0,12,13,30,62,103,369,73,8,2,46,80,8,9,0,0,17,260,371,618,655,828,988,1060,1238,1350,1384,1389,1397,1398,1419,1437,1424,329,197,331,14,2,217,33,202,3,41,109,0,33,0,0,28,66,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,11,67,537,804,959,1069,1145,1268,1437,1486,1388,1271,1289,1312,1297,1316,1312,1477,1111,1210,1276,1355,962,508,565,361,395,167,1103,1190,784,79,8,0,0,0,0,0,0,0,0,0,0,0,17,16,15,2,18,21,70,156,552,896,1075,542,663,442,504,230,819,863,488,555,664,782,941,354,455,622,900,1250,1271,1402,1085,885,1004,1219,1221,921,997,1049,357,4,13,21,106,19,20,0,0,27,606,857,993,1093,1198,1198,929,998,1071,869,914,863,614,652,897,962,703
BYU,84,60,163,164,26,2,1,3,0,0,0,0,0,0,0,0,0,22,18,29,8,18,11,0,0,0,0,0,0,0,0,0,0,0,21,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,5,1,12,19,53,116,256,339,369,615,47,49,10,0,0,0,6,8,4,13,39,64,161,327,462,462,624,547,629,628,846,931,1054,1086,1143,464,545,591,679,690,321,461,541,248,178,755,941,279,298,353,441,577,59,106,216,404,510,680,702,814,66,113,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,9,0,0,4,21,29,20,79,10,41,70,8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,8,0,2,2,0,3,21,19,0,0,0,0,0,0,18,26,124,222,381,473,16,2,0,0,0,0,0,0,0,6,0,3,23,204,74,1,0,0,9,11,19,40,1,5,13,7,0,6,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ball State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,43,75,135,274,445,503,590,613,673,765,219,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,4,22,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,34,234,501,730,921,980,1028,841,924,1117,1161,929
Baylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,70,250,30,3,0,0,0,0,0,117,171,391,528,90,185,9,29,0,3,56,302,457,599,775,23,39,57,54,101,41,52,0,0,0,0,0,0,1,0,52,80,125,297,375,465,698,698,890,1255,1293,1299,1376,1386,1009,1100,1275,796,965,1018,1135,1179,1213,1191,1372,1392,853,848,957,1223,1272,1242,1300,1277,1135,1365,1349,1324,1364,1394,1408,1463,1488,1488,1481,1439,999,1201,836,485,763,383,481,452,658,797,876,1061,1130,1194,810,161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,362,507,114,145,160,6,0,0,2,12,129,297,375,122,165,118,164,214,322,558,621,732,795,308,382,388,452,469,493,558,566,273
Boise State,7,6,7,0,1,1,4,13,28,57,111,123,171,308,499,584,588,22,23,24,67,82,11,4,28,27,57,110,125,194,382,462,557,704,99,94,114,272,346,340,442,498,557,638,724,782,827,887,926,943,792,303,15,0,0,2,1,0,0,3,12,31,1,9,39,26,7,46,31,78,139,257,344,472,575,667,694,769,830,862,1018,1053,1275,222,315,47,14,18,25,37,61,103,218,368,556,593,247,246,246,33,25,24,22,43,265,446,624,648,786,894,958,1028,1023,1033,1044,1034,809,542,803,913,976,1144,1133,1170,1153,1152,1176,1200,1183,1181,1197,1216,1312,1215,1304,1278,1291,1312,1276,1335,1385,1383,1361,1330,1329,1341,869,914,1012,1065,1197,1214,1212,1223,1186,1170,1172,1213,1237,1242,831,982,1033,1128,1162,271,82,104,70,69,83,197,271,407,634,126,161,243,479,569,633,420,5,2,5,0,0,0,3,1,0,0,0,0,0,0,0,0,13,1,1,1,5,0,0,0,0,4,5,7,32,85,253,325,627,190,277,14,8,47,100,321,2,1,7,9,0,0,0,0,8,73,52,37,62,126,341,628,772,776,266,211,355,414,93,50,20,49,36,1,2,0,0,0,4,3,8,29,40,124,15,72,242,23,21,37,109,8,9,0,1,0,171,580,309,22,0,0,0,5,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,85,44,22,28,39,4,8,27,8,8,0,11,4,9,24,27,24,21,21,0,8,26,0,7,1,3,0,1,0,0,0,0,0,2,10,7,1,8,30,2,7,28,0,18,102,244,433,478,131,77,245,237,416,527,163,255,449,657,859,870,455,56,216,345,436,427,584,87,31,146,348,78,88,108,321,530,639,230,384,540,138,175,388,150,153,315,754,881,1138,1283,1383,1412,1414,951,505,619,861,617,617,898,47,36,0,2,0,0,6,3,159,9,0,7,97,290,435,96,6,3,3,0,0,0,15,0,26,0,5,7,14,0,0,0,0,10,7,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowling Green,0,0,0,0,2,12,18,75,155,218,441,503,113,3,4,2,1,0,0,3,26,35,26,12,31,66,89,310,369,63,117,140,198,170,22,22,1,3,5,0,0,4,4,12,33,70,117,141,25,15,57,63,12,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,5,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,14,22,56,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,141,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
