Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16
Syracuse,0,Syracuse,0,Syracuse,0,Syracuse,11,Syracuse,83,Syracuse,48,Syracuse,6,Syracuse,0,Syracuse,3,Syracuse,183,Syracuse,625,Syracuse,849,Syracuse,432,Syracuse,499,Syracuse,505,Syracuse,720
TCU,530,TCU,699,TCU,743,TCU,508,TCU,67,TCU,40,TCU,33,TCU,0,TCU,0,TCU,0,TCU,0,TCU,0,TCU,0,TCU,0,TCU,0,TCU,0
Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0
Tennessee,0,Tennessee,0,Tennessee,0,Tennessee,2,Tennessee,0,Tennessee,0,Tennessee,0,Tennessee,0,Tennessee,0,Tennessee,0,Tennessee,0,Tennessee,1,Tennessee,0,Tennessee,0,Tennessee,0,Tennessee,0
Texas,265,Texas,0,Texas,1,Texas,9,Texas,171,Texas,342,Texas,833,Texas,1138,Texas,1146,Texas,721,Texas,433,Texas,662,Texas,816,Texas,939,Texas,776,Texas,1093
Texas A&M,67,Texas A&M,84,Texas A&M,87,Texas A&M,150,Texas A&M,29,Texas A&M,31,Texas A&M,205,Texas A&M,501,Texas A&M,583,Texas A&M,167,Texas A&M,16,Texas A&M,29,Texas A&M,57,Texas A&M,295,Texas A&M,388,Texas A&M,625
Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0,Texas State,0
Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,56,Texas Tech,0,Texas Tech,0,Texas Tech,1,Texas Tech,8,Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,0,Texas Tech,0
Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0,Toledo,0
Troy,19,Troy,0,Troy,0,Troy,4,Troy,5,Troy,5,Troy,8,Troy,0,Troy,0,Troy,0,Troy,0,Troy,17,Troy,16,Troy,0,Troy,0,Troy,2
Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0,Tulane,0
Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0,Tulsa,0
UAB,0,UAB,0,UAB,0,UAB,0,UAB,0,UAB,0,UAB,1,UAB,1,UAB,6,UAB,24,UAB,64,UAB,102,UAB,12,UAB,4,UAB,4,UAB,9
UCF,259,UCF,339,UCF,438,UCF,500,UCF,705,UCF,763,UCF,932,UCF,1034,UCF,1008,UCF,1082,UCF,1054,UCF,1042,UCF,1108,UCF,1200,UCF,1218,UCF,876
UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0,UCLA,0
UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0,UMass,0
UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0,UNLV,0
USC,691,USC,766,USC,295,USC,0,USC,8,USC,10,USC,0,USC,25,USC,0,USC,0,USC,0,USC,0,USC,0,USC,0,USC,0,USC,0
UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0,UT San Antonio,0
Utah,81,Utah,70,Utah,86,Utah,10,Utah,2,Utah,0,Utah,12,Utah,32,Utah,107,Utah,620,Utah,184,Utah,387,Utah,551,Utah,610,Utah,411,Utah,75
Utah State,0,Utah State,0,Utah State,0,Utah State,0,Utah State,0,Utah State,0,Utah State,11,Utah State,33,Utah State,63,Utah State,281,Utah State,565,Utah State,698,Utah State,704,Utah State,130,Utah State,125,Utah State,252
UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0,UTEP,0
Vanderbilt,0,Vanderbilt,0,Vanderbilt,3,Vanderbilt,2,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0,Vanderbilt,0
Virginia,0,Virginia,0,Virginia,0,Virginia,0,Virginia,3,Virginia,0,Virginia,0,Virginia,4,Virginia,17,Virginia,207,Virginia,0,Virginia,44,Virginia,2,Virginia,0,Virginia,0,Virginia,5
Virginia Tech,524,Virginia Tech,730,Virginia Tech,862,Virginia Tech,927,Virginia Tech,160,Virginia Tech,167,Virginia Tech,2,Virginia Tech,3,Virginia Tech,4,Virginia Tech,5,Virginia Tech,0,Virginia Tech,0,Virginia Tech,0,Virginia Tech,0,Virginia Tech,0,Virginia Tech,0
Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0,Wake Forest,0
Washington,1245,Washington,800,Washington,852,Washington,909,Washington,959,Washington,1027,Washington,1148,Washington,682,Washington,729,Washington,285,Washington,463,Washington,591,Washington,687,Washington,921,Washington,1046,Washington,807
Washington State,7,Washington State,11,Washington State,21,Washington State,35,Washington State,34,Washington State,43,Washington State,113,Washington State,211,Washington State,633,Washington State,962,Washington State,1076,Washington State,1119,Washington State,1195,Washington State,829,Washington State,856,Washington State,1007
West Virginia,310,West Virginia,612,West Virginia,727,West Virginia,824,West Virginia,946,West Virginia,1055,West Virginia,1249,West Virginia,768,West Virginia,794,West Virginia,992,West Virginia,1108,West Virginia,1173,West Virginia,766,West Virginia,621,West Virginia,683,West Virginia,235
Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0,Western Kentucky,0
Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0,Western Michigan,0
Wisconsin,1243,Wisconsin,1249,Wisconsin,1252,Wisconsin,626,Wisconsin,776,Wisconsin,797,Wisconsin,916,Wisconsin,399,Wisconsin,430,Wisconsin,41,Wisconsin,64,Wisconsin,7,Wisconsin,32,Wisconsin,1,Wisconsin,0,Wisconsin,2
Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0,Wyoming,0
